Text,company,metric,scaled_metric,sentiment
Welcome everybody. Thank you for joining us today and good day to you. Were just about to get started. Before we do just a little bit of housekeeping to let you know how the program runs today. We will have presentations from both PagerDuty CEO and CFO and then move into a QA portion. That QA portion will be invitation to our group and we have those analysts on as analysts in todays session.,PD,0.9999998807907104,0.9999997615812788,Positive
So were ready to get started. Im going to turn it over to Christine Cloonan to get us started here. Christine you can take it away.,PD,0.5,-5.960468030252741e-07,Negative
Great. Thank you. Good afternoon and thank you for joining us to discuss PagerDutys Fourth Quarter and Fiscal 2021. With me on todays call are Jennifer Tejada PagerDutys Chairperson and Chief Executive Officer and Howard Wilson our Chief Financial Officer.,PD,0.99999737739563,0.9999947547881336,Positive
Statements made on todays call will include forwardlooking statements which involve known and unknown risks and uncertainties that may cause our actual results performance or achievements to be materially different from those expected or implied by the forwardlooking statements. Forwardlooking statements represent our managements belief and assumptions only as of the date such statements are made and we undertake no obligation to update these.,PD,0.9733564257621764,0.9467128197627184,Positive
During todays call we will discuss nonGAAP financial measures which are in addition to and not a substitute for or superior to measures of financial performance prepared in accordance with GAAP. There are a number of limitations related to the use of these nonGAAP financial measures versus their closest GAAP equivalents.,PD,0.973423719406128,0.9468474071308419,Positive
For example other companies may calculate nonGAAP financial measures differently or may use other measures to evaluate their performance all of which could reduce the usefulness of our nonGAAP financial measures as a tool for comparison.,PD,0.5,-5.960468030252741e-07,Negative
A reconciliation between GAAP and nonGAAP financial measures is available in our earnings release. Further information on these and other factors that could affect the companys financial results are included in filings we make with the Securities and Exchange Commission.,PD,0.9519574642181396,0.9039148711650795,Positive
With that I will turn the call over to Jennifer.,PD,0.8319525718688965,0.6639049434095283,Positive
Thank you Christine. And thank you all for joining us today. Q4 was an outstanding quarter for PagerDuty. We added 59 million in revenue reaccelerating growth sequentially to 29 yearoveryear as our momentum built to close out an unparalleled year.,PD,0.995642900466919,0.9912857957397674,Positive
Through a combination of better macro conditions secular tailwinds like digital acceleration cloud adoption and DevOps transformation and improved gotomarket execution we ended fiscal 2021 with 214 million in revenue up 28 over last year. Im incredibly appreciative of our customers and our partners for their loyalty and trust and grateful to the PagerDutys team whose resilience commitment and customer devotion over the last 12 months was both inspiring and delivered a great outcome for our stakeholders.,PD,0.9441333413124084,0.8882666160265302,Positive
Importantly Q4 was a strong recordsetting quarter for PagerDuty. We closed the largest multiyear expansion in our history signed our first 1 million contract in EMEA expanded our first fiveyear contract and achieved record transaction growth in the midmarket. Our results validate our strategic focus and leadership position in the enterprise segment where dollarbased net retention accelerated above 125 and overall dollarbased net retention expanded sequentially to 121 which is in the range we anticipate for fiscal 2022.,PD,0.8482736349105835,0.6965470889491372,Positive
Digital operations management plan accounted for 70 of total net new ARR in the quarter as customers upgraded to advance their operational maturity. For the year uptake of the digital operations management plan doubled now over 20 of our total ARR. The pandemic accelerated the digitization of most business models from healthcare to telehealth retail to ecommerce and banking to fintech. The need for businesses to develop the agility to respond to emerging consumer trends competitive threats and potential disruption is not going away.,PD,0.1346970796585083,-0.730606872205062,Negative
While PagerDuty was founded on this premise its become increasingly clear that we are unique in our ability to help customers advance their operational maturity. PagerDutys modern cloudnative operations platform has become the central nervous system for digital modern businesses. Its designed specifically for missioncritical emergent work across distributed teams.,PD,0.8791761994361877,0.7583522548390953,Positive
Traditional workflow and observability solutions fall short in orchestrating the immediate action and proactive prevention of customer and business impacts now required by the realtime nature of our global digital economy which is clearly here to stay. Our customers have quickly learned that in a world of digital everything modern Dev and IT teams must be prepared for anything.,PD,0.9953693151474,0.9907386247745902,Positive
PagerDutys 2020 global developer and IT operations report uncover the yearly 60 of respondents found root cause harder to identify due to increasing app and infrastructure monitoring complexity. And nearly 70 reported struggling with an increase in alert noise on a daily basis. Teams are more distributed than ever managing increasingly complex hybrid cloud ecosystems with more persistent events caused by a growing volume of security threats highervelocity deployment and aging legacy architectures.,PD,0.0156756043434143,-0.9686499647199898,Negative
Our scope within organizations has expanded as more teams engaged in digital operations usually beginning with DevOps moving to ITOps and increasingly deploying across enterprises to include customer service security and beyond. Over the course of the year we saw an increase in transformative work with our customers where weve become critical infrastructure as teams increased focus on resilience and expanded to new use cases that address unpredictable unstructured and urgent opportunities that can make or break the brand experience.,PD,0.0073473155498504,-0.9853065522352173,Negative
One example of this is a North American grocery chain which sought to efficiently notify customers and employees of food recalls. They rolled out the digital transformation program on PagerDutys platform to immediately inform 50000 stakeholders including checkout staff in the event of a safety incident increasing customer safety satisfaction and trust.,PD,0.9655431509017944,0.9310862607277994,Positive
Our gotomarket teams executed well improving ramp and productivity. During the fourth quarter trailing 12 months billings grew 29 driven by strong expansion particularly in the midmarket and enterprise. Our growth was also fueled by a favorable competitive environment. Customers investing over 1 million on PagerDuty grew by 44 with 26 large enterprises now spending over 1 million with PagerDuty.,PD,0.9868488311767578,0.9736976466760914,Positive
We now serve more than 60 of the Fortune 100 over 40 of the Fortune 500 and more than 700000 users on our platform up 40 yearonyear. Many of the expansions we saw in the quarter included early renewals as customers added users and upgraded plans in order to execute on their digital transformation and cloud migration initiatives more quickly by leveraging AIOps.,PD,0.0569157302379608,-0.8861696637688063,Negative
Midmarket momentum was also very strong with our commercial team setting a new bookings record growing transaction volumes by 48 versus last year. We saw momentum in APJ and EMEA and announced today our first EU data center to support growing demand in the region.,PD,0.5,-5.960468030252741e-07,Negative
Once again we saw strong expansion in the quarter with many of the largest fastestgrowing software companies in the world like SAP Intuit Datadog and Autodesk. Our leadership in financial services also gained momentum. Morgan Stanley expanded its longterm relationship with PagerDuty investing in thousands of licenses on our digital operations platform. Another Global 100 investment bank steadily expanded over the last two years on our digital operations plan demonstrating the strength of our longterm relationship and reliable customer expansion.,PD,0.0470727682113647,-0.9058555995557307,Negative
The CIO and CTO championed one of the largest expansions in Q4 for a total of 8000 users in a threeyear multimilliondollar contract as they adopt DevOps and fullservice ownership and transitioned to the cloud with a you ship it you own it mindset. They expect to realize 10 million of annual benefit from PagerDuty as they retire their homegrown systems and improve efficiencies across the organization.,PD,0.8535780906677246,0.7071560067868272,Positive
One of our competitive advantages is the diversity of our customer base and leadership across verticals. During the quarter we landed and expanded with several energy customers where PagerDuty is literally keeping the lights on.,PD,0.995374321937561,0.9907486383608808,Positive
One is a major Northeast utility that developed a web app to provide their consumers with winter outage information and service updates. PagerDuty replaced their inhouse oncall management solution and was deployed to the entire infrastructure IT and development organization with other business groups expected to adopt PagerDuty in the future.,PD,0.1420169174671173,-0.7159671878619122,Negative
Similarly a new Fortune 500 customer that provides electricity for 3 million customers in the Midwest adopted PagerDuty to modernize their operations by reducing manual processes which contributed to poor customer outcomes. Theyre also using PagerDuty to automate timecritical workflows and more effectively measure and improve KPIs. They anticipate theyll realize a 20 reduction in labor costs within customer support and a threemonth payback period.,PD,0.0680913925170898,-0.8638183258881128,Negative
While 2020 was uniquely challenging it also created unique opportunities. Over the course of the year we deepened our competitive moat on several fronts. We advanced our platform value proposition with the acquisition of Rundeck bringing machinebased automation and save selfhealing to incident response and other use cases like IT DevOps and security.,PD,0.97754967212677,0.9550993174906477,Positive
Carrefour Financial Solutions Brazil the financial services arm of the Fortune 500 global retailer adopted PagerDuty and Rundeck to anticipate problems and automate incident response through selfhealing. With over 10000 employees Carrefour aims to accelerate their digital transformation efforts while reducing costs. They turned to us to improve the quality of their service across their IT intra monitoring and service teams in order to deliver increasingly intuitive digital banking experiences to their customers.,PD,0.5,-5.960468030252741e-07,Negative
Another large multinational financial services company adopted Rundeck during the year to automate and standardize on its core financial operations across six data centers. The banks initial Rundeck users started on our opensource offering then scaled to the paid enterprise plan. Following their initial deployment the bank expanded PagerDuty and Rundeck globally to manage 24000 systems substantially reducing labor costs and enhancing audit tracing capabilities.,PD,0.5,-5.960468030252741e-07,Negative
During the year customers adopted PagerDuty beyond incident response to service to security and customer service where users grew 56 and 40 respectively. HashiCorp LegalZoom Discovery Communications and Slack use PagerDuty for customer service.,PD,0.5,-5.960468030252741e-07,Negative
Slacks customer service agents use our platform for full case ownership escalating customerfacing issues to the right subject matter experts or developers so that they can be resolved quickly.,PD,0.9845178723335266,0.9690357262109077,Positive
We continue to add to our robust APIbased integration ecosystem accelerating our network effect and cementing our position as the hub for digital operations and incident detection. We continue to expand our ecosystem in the fourth quarter now connecting with over 530 integrations including change event partners like Buildkite Gitlab and Jenkins and security partners like JFrog. Integrations enable seamless work across platforms and teams when seconds matter.,PD,0.5,-5.960468030252741e-07,Negative
During the year we distanced our innovation based lead in developercentric incident response and management broadening our AIOps solution with significant enhancements to service directory change management incident insight in Slack and even more bidirectional chat features in Microsoft Teams and Zoom. ARR from Event Intelligence grew almost 160 over the previous year.,PD,0.5,-5.960468030252741e-07,Negative
New releases in the fourth quarter included automation selfremediation and deeper customer service integrations. We launched change impact mapping which allows developers to easily identify code changes that impact their services and more quickly resolve incidents. This is a game changer for customers because according to Forrester change events cause roughly 80 of service disruptions.,PD,0.9883924722671508,0.976784930697042,Positive
Our deep integrations with Buildkite for CICD and Microsoft GitHub and GitLab the largest repositories for source code make these new capabilities even richer. We launched Version 3 of our Zendesk integration linking Zendesk events to PagerDuty incidents and synchronizing incident priority details and escalations from across both platforms instantly.,PD,0.5,-5.960468030252741e-07,Negative
PagerDutys resilience and ROI is incomparable. As the accelerated digital transformation and society increased reliance on the Internet to learn work and live tested our platform the platform delivered. In 2021 we processed 41 billion events and API requests yet improved our customers average resolution time by 20 while sustaining four 9s of availability and notification transit times.,PD,0.972620964050293,0.9452418954622122,Positive
In the last year our customers became even more reliant on our platform in the face of a challenging business environment along with digital acceleration. We believe this will lead to ongoing reliable expansion with our customers. According to IDC PagerDutys enterprise customers achieved an incredible 800 return on investment over three years a twomonth payback period and an average of 3.5 million in savings annually by increasing efficiency and productivity within our organizations through facilitating autonomy and service ownership amongst users.,PD,0.8948954939842224,0.7897908626740353,Positive
Reduced time spent on issues within the incident life cycle led to 27 more productive DevOps teams 18 productivity improvements for IT and infra team and 10 improvements for customer support. This sets us apart from less modern platforms that require millions in deployment costs and multiyear payback selfservice ease of use and quick timetovalue tenants of the PagerDuty platform that developers love and expect.,PD,0.0972989201545715,-0.8054032357950425,Negative
As our reach expands to employees across the enterprise our inapp experience becomes even more important. During the fourth quarter we welcomed Sean Scott our first Chief Product Officer. Sean is a product and ecommerce expert having spent over 10 years leading the teams responsible for Amazon.coms home and product pages. Most recently he built the robotics hardware and software teams responsible for developing Amazons fully electric autonomous delivery system called Scout.,PD,0.999952793121338,0.999905586186401,Positive
Seans consumer product experience will help us to continue to delight our users and accelerate our business through productled growth. His background dovetails perfectly with our history of growth and innovation through seamless fast timetovalue usereccentric products. Im excited to scale our platform and innovation to new use cases under Seans leadership.,PD,0.9999164342880248,0.9998328684764315,Positive
We are both confident and optimistic about FY 2022 as we see the acceleration in secular tailwinds cloud migration DevOps transformation and digital acceleration continuing over the long term. IDC predicts investment in digital transformation will be 2.3 trillion by 2023 almost double todays spend.,PD,0.7432535886764526,0.48650687128714987,Positive
The pandemic helped the market especially business leaders understand the missioncritical nature of digital operations driving more strategic engagements across all of our segments. If anything our total addressable market has grown. And as markets reopen we expect to benefit from industries like travel hospitality entertainment transportation and from small and medium businesses as they recover.,PD,0.9965241551399232,0.993048306136314,Positive
We are firmly established as the system for engagement for modern businesses and essential infrastructure for the most important most innovative brands in the world. Our integration ecosystem deep proprietary data set and viral network effect all position us to continue to accelerate growth.,PD,0.9961482286453248,0.9922964526989777,Positive
Im incredibly proud of our progress in FY 2021 and Im bullish about the future as the market and macro trends meet us. Im grateful to be part of a leadership team and company that both stands for equality and programmatically invest to achieve it in our company and in the industry.,PD,0.999297261238098,0.9985945216384657,Positive
In FY 2021 our inclusion diversity and equity efforts resulted in improved access representation pay equity and greater career opportunities. We continued investment in volunteer support for racial and social equity and inclusive leadership development.,PD,0.995530128479004,0.9910602516295028,Positive
To further strengthen inclusive hiring we launched partnerships with two historically black colleges and universities North Carolina AT and Alabama AM and two Hispanic serving institutions Florida International University and the University of Houston.,PD,0.5,-5.960468030252741e-07,Negative
Our Board of Directors is among the most balanced in the tech industry representing the diverse communities we serve. In Q4 we welcomed our newest Director Bonita Stewart. Bonita currently serves as the Vice President of Global Partnerships at Google and brings decades of experience in marketing and strategic partnerships which will serve us well as we develop our brand our market position and our partner ecosystem.,PD,0.9976800680160522,0.9953601332665285,Positive
Next week were releasing our first social impact report building on our diversity report published last September which outlines our progress and underscores the ongoing work we will continue to do. PagerDuty employees are at the heart of our social impact their talent passion and business expertise extend wellbeyond the workplace.,PD,0.8457213640213013,0.691442544128027,Positive
During the year 93 of our employees gave back community service or financial donations volunteering several thousand hours and donating to support 110 nonprofit organizations globally. We deployed over 1 million in grants through the PagerDuty.org Fund. As we celebrate Black History Month and International Womens Day and stand with the Black and Asian communities against hate and violence I implore every leader and leadership team to join PagerDuty in allyship in challenging bias and systemic racism and in architecting a more equitable and accessible industry and community.,PD,0.0472332239151001,-0.9055346879569817,Negative
With that Ill turn the call over to Howard.,PD,0.754378080368042,0.5087558679317641,Positive
Thank you Jen. We are delighted with our fourth quarter results and confident and optimistic about the outlook for full year 2022. We outperformed across the board in the quarter. Our revenue grew 29 yearoveryear to 59 million a solid beach on the high end of our guidance. Expansion within the enterprise and midmarket segment where our customers expanded into new use cases added new teams and upgraded to our digital operations offering drove this revenue performance.,PD,0.9946781992912292,0.9893563922383739,Positive
Our full year revenue of 214 million grew 28 versus a year ago as our sales execution and momentum in the back half of the year delivered a strong finish to the year. Scaling efficiencies and thoughtful capital management saw our Q4 nonGAAP EPS improved wellahead of guidance at negative 0.07 per share a 0.04 each. For the full year our nonGAAP EPS was negative 0.24 per share also ahead of our guidance.,PD,0.8880168199539185,0.7760335064134041,Positive
NonGAAP gross margin remained bestinclass at above 85 for both the quarter and the full year the high end of our target range consistent with where it has been for the last four quarters.,PD,0.753944993019104,0.5078896927176075,Positive
As Jen highlighted PagerDuty has become essential infrastructure enabling our customers digital initiatives. Consistent customer expansion proves this. Once again approximately onethird of our enterprise customers expanded with us for the eighth consecutive quarter.,PD,0.8172781467437744,0.6345560756659958,Positive
Additionally adoption of our digital operations plan is growing accounting for 70 of net new ARR in Q4. Our enterprise momentum drove yearoveryear growth of 34 in customer spending more than 500000 and 44 in customers spending more than 1 million. All of this reaccelerated dollarbased net retention which increased to 121. Taken alone enterprise dollarbased net retention accelerated to above 125.,PD,0.5,-5.960468030252741e-07,Negative
Looking ahead to fiscal year 2022 we expect dollarbased net retention to vary by quarter in a range of 118 to 124. We continue to penetrate the enterprise segment across multiple industries. As of the end of the quarter we serve over 60 of the Fortune 100 and over 40 of the Fortune 500. Within the Fortune 500 we serve 90 of media 73 of technology 33 of financial services and 52 of retail companies. Our leadership in financial services has expanded significantly with ARR up 150 over last year in the Fortune 500 and by over 40 of financial services as a whole.,PD,0.5,-5.960468030252741e-07,Negative
While we are seeing the strength in enterprise and midmarket we are seeing good momentum in SMB. And with the continued success of our free offering grew the number of companies both paid and free by over 20 yearoveryear.,PD,0.986874222755432,0.9737484298637089,Positive
Early renewals including several large multiyear enterprise deals drove an uptick in quarterly billings to 41 growth yearoveryear. Given the fluctuations of quarterly billings we focus on trailing 12 months billings which grew 29 yearoveryear.,PD,0.5,-5.960468030252741e-07,Negative
Our remaining performance obligations which grew 59 from the same period a year ago reflect momentum in multiyear deals particularly from the enterprise. As more of our business comes from the enterprise the shift to term contracts continues with 87 of our revenue versus 83 a year ago. At above 95 we continue to have industryleading renewal rates.,PD,0.5,-5.960468030252741e-07,Negative
Before turning to operating expenses I would like to highlight the robust growth in our international markets. Revenue grew 34 yearoveryear to total 24 of our revenue. Despite challenging macro conditions in Europe our EMEA region full year revenue grew at over 40 for the third year. We continue to invest to expand our reach internationally. And today we announced we are offering European data hosting beginning this summer to support our EMEA customers.,PD,0.9790775775909424,0.9581551302403988,Positive
We have capitalized expenses in fiscal year 2021 in connection with this project and expect to begin amortizing these expenses into the income statement in the second quarter of fiscal 2022 once we are live.,PD,0.5,-5.960468030252741e-07,Negative
